word,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12
possono,p,O,ss,o,n,o,,,,,,
pressione,p,r,e,ss,j,o,n,e,,,,
prima,p,r,i,m,a,,,,,,,
pubblico,p,u,bb,l,i,k,o,,,,,
pulcino,p,u,l,tS,i,n,o,,,,,
qualsiasi,k,w,a,l,s,i,a,s,i,,,
quattro,k,w,a,tt,r,o,,,,,,
realta,r,e,a,l,t,a,,,,,,
resto,r,E,s,t,o,,,,,,,
riflesso,r,i,f,l,E,ss,o,,,,,
rinfrescante,r,i,n,f,r,e,s,k,a,n,t,e
rosso,r,o,ss,o,,,,,,,,
ruspa,r,u,s,p,a,,,,,,,
sapere,s,a,p,e,r,e,,,,,,
saranno,s,a,r,a,nn,o,,,,,,
sbarra,z,b,a,rr,a,,,,,,,
sbrana,z,b,r,a,n,a,,,,,,
scale,s,k,a,l,e,,,,,,,
scelta,S,e,l,t,a,,,,,,,
scenario,S,e,n,a,r,j,o,,,,,
scrive,s,k,r,i,v,e,,,,,,
scuri,s,k,u,r,i,,,,,,,
seconda,s,e,k,o,n,d,a,,,,,
sei,s,E,i,,,,,,,,,
sembra,s,e,m,b,r,a,,,,,,
sera,s,e,r,a,,,,,,,,
servizio,s,e,r,v,i,tts,j,o,,,,
sette,s,E,tt,e,,,,,,,,
sfrega,s,f,r,e,g,a,,,,,,
sgonfio,z,g,o,n,f,j,o,,,,,
siano,s,i,a,n,o,,,,,,,
sinistra,s,i,n,i,s,t,r,a,,,,
smalto,z,m,a,l,t,o,,,,,,
soffitta,s,o,ff,j,tt,a,,,,,,
soggiorno,s,o,ddZ,o,r,n,o,,,,,
soldato,s,o,l,d,a,t,o,,,,,
sono,s,O,n,o,,,,,,,,
sorpresa,s,o,r,p,r,e,s,a,,,,
spegni,s,p,e,JJ,i,,,,,,,
splende,s,p,l,E,n,d,e,,,,,
spremuta,s,p,r,e,m,u,t,a,,,,
stato,s,t,a,t,o,,,,,,,
strada,s,t,r,a,d,a,,,,,,
studio,s,t,u,d,j,o,,,,,,
su,s,u,,,,,,,,,,
sveglia,z,v,e,LL,i,a,,,,,,
temperatura,t,e,m,p,e,r,a,t,u,r,a,
tempi,t,E,m,p,i,,,,,,,
terrazzo,t,e,rr,a,tts,o,,,,,,
tigre,t,i,g,r,e,,,,,,,
tre,t,r,E,,,,,,,,,
troppo,t,r,o,pp,o,,,,,,,
trovare,t,r,o,v,a,r,e,,,,,
ufficio,u,ff,i,tS,o,,,,,,,
umidita,u,m,i,d,i,t,a,,,,,
unica,u,n,i,k,a,,,,,,,
uno,u,n,o,,,,,,,,,
uomini,w,o,m,i,n,i,,,,,,
uscita,u,SS,i,t,a,,,,,,,
vecchio,v,E,kk,j,o,,,,,,,
vedere,v,e,d,e,r,e,,,,,,
veneziane,v,e,n,e,tts,j,a,n,e,,,
verde,v,e,r,d,e,,,,,,,
viola,v,j,O,l,a,,,,,,,
visto,v,i,s,t,o,,,,,,,
volpe,v,o,l,p,e,,,,,,,
volte,v,O,l,t,e,,,,,,,
volume,v,o,l,u,m,e,,,,,,
vuole,v,w,O,l,e,,,,,,,
zero,dz,E,r,o,,,,,,,,
zucchero,ts,u,kk,e,r,o,,,,,,
